GridWindow;fanin;27;fanout;157;if;12;try;2;SQL queries;1;McCabe complexity;75
MScheduler;fanin;15;fanout;216;if;18;try;9;SQL queries;4;McCabe complexity;75
GridFieldVO;fanin;10;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;75
MEntityType;fanin;9;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;75
InvoiceGenerate;fanin;9;fanout;253;if;19;try;3;SQL queries;1;McCabe complexity;75
DunningRunCreate;fanin;7;fanout;138;if;9;try;6;SQL queries;4;McCabe complexity;75
Tax;fanin;28;fanout;279;if;28;try;3;SQL queries;8;McCabe complexity;74
MBankStatement;fanin;21;fanout;209;if;11;try;3;SQL queries;1;McCabe complexity;74
MMeasure;fanin;12;fanout;145;if;14;try;7;SQL queries;3;McCabe complexity;74
ViewImport;fanin;8;fanout;29;if;14;try;1;SQL queries;0;McCabe complexity;74
X_C_PaymentProcessor;fanin;61;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;73
MInventoryLine;fanin;44;fanout;136;if;19;try;3;SQL queries;2;McCabe complexity;73
X_C_DocType;fanin;130;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;72
MJournalLine;fanin;59;fanout;152;if;13;try;0;SQL queries;0;McCabe complexity;72
MSchedule;fanin;12;fanout;197;if;20;try;1;SQL queries;0;McCabe complexity;72
MDistribution;fanin;10;fanout;297;if;11;try;4;SQL queries;2;McCabe complexity;72
SubTableUtil;fanin;2;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;71
X_C_ProjectLine;fanin;115;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;70
X_C_BP_BankAccount;fanin;87;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;70
MAsset;fanin;28;fanout;169;if;9;try;6;SQL queries;3;McCabe complexity;70
X_AD_ClientInfo;fanin;9;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;70
RequisitionPOCreate;fanin;8;fanout;136;if;13;try;2;SQL queries;1;McCabe complexity;70
VolumeTest;fanin;5;fanout;211;if;13;try;4;SQL queries;2;McCabe complexity;70
MPrintFormatItem;fanin;2;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;70
MSession;fanin;107;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;69
MTemplate;fanin;13;fanout;116;if;23;try;4;SQL queries;3;McCabe complexity;69
Language;fanin;55;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;68
ReplicationLocal;fanin;21;fanout;201;if;11;try;9;SQL queries;6;McCabe complexity;68
MCashLine;fanin;18;fanout;203;if;15;try;2;SQL queries;2;McCabe complexity;68
WebEnv;fanin;15;fanout;1009;if;5;try;3;SQL queries;0;McCabe complexity;68
MMovementConfirm;fanin;14;fanout;184;if;24;try;3;SQL queries;1;McCabe complexity;68
UIWindowVO;fanin;3;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;68
X_AD_Field;fanin;1;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;68
ProjectIssue;fanin;6;fanout;186;if;2;try;0;SQL queries;0;McCabe complexity;67
ImportGLJournal;fanin;0;fanout;512;if;13;try;4;SQL queries;2;McCabe complexity;67
X_M_Inventory;fanin;90;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;66
X_AD_ComponentReg;fanin;51;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;66
RModel;fanin;17;fanout;116;if;4;try;0;SQL queries;0;McCabe complexity;66
DistributionRun;fanin;9;fanout;244;if;20;try;0;SQL queries;0;McCabe complexity;66
GridWorkbench;fanin;5;fanout;86;if;1;try;2;SQL queries;2;McCabe complexity;66
CompierePLAF;fanin;2;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;66
X_C_Cash;fanin;61;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;65
Compiere;fanin;44;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;65
X_CM_CStage;fanin;30;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;65
MProject;fanin;29;fanout;153;if;8;try;7;SQL queries;3;McCabe complexity;64
MAttributeSet;fanin;25;fanout;109;if;15;try;8;SQL queries;4;McCabe complexity;64
ConcreteElement;fanin;21;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;64
TranslationMgr;fanin;14;fanout;142;if;11;try;6;SQL queries;5;McCabe complexity;64
X_AD_Process;fanin;13;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;64
OFXBankStatementHandler;fanin;7;fanout;58;if;25;try;5;SQL queries;0;McCabe complexity;64
MLanguage;fanin;4;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;64
X_C_ValidCombination;fanin;136;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;63
ImpFormatRow;fanin;26;fanout;73;if;9;try;4;SQL queries;0;McCabe complexity;63
X_I_Inventory;fanin;21;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;63
MergeProcess;fanin;11;fanout;163;if;29;try;9;SQL queries;10;McCabe complexity;62
RModelData;fanin;5;fanout;132;if;12;try;2;SQL queries;1;McCabe complexity;62
X_I_ElementValue;fanin;5;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;62
