Class,FanIn,FanOut,If,Try,SQL,McCabe
X_AD_AlertProcessor,7,0,0,0,0,32
X_M_ProductLocator,6,0,0,0,0,32
X_AD_UserPreference,6,0,0,0,0,32
X_AD_LoginMsg,5,0,0,0,0,32
MProjectType,4,72,5,2,1,32
MInvoiceSchedule,4,78,5,0,0,32
RequestInvoice,4,60,3,2,1,32
UniqueID,1,0,0,0,0,32
X_AD_Form,1,0,0,0,0,32
PO_LOB,1,0,0,0,0,32
Aging,0,72,5,2,1,32
X_C_LandedCost,45,0,0,0,0,31
X_C_RfQLineQty,38,0,0,0,0,31
X_C_InvoicePaySchedule,27,0,0,0,0,31
X_AD_ViewComponent,18,0,0,0,0,31
X_I_InOutLineConfirm,11,0,0,0,0,31
MClick,6,51,5,4,2,31
X_AD_Language,5,0,0,0,0,31
TranslationTable,3,0,0,0,0,31
AcctDistribution,3,113,14,2,1,31
X_C_AcctSchema_GL,2,0,0,0,0,31
GridWindowVO,1,0,0,0,0,31
MRfQ,21,72,2,4,2,30
X_W_MailMsg,17,0,0,0,0,30
MInvoiceTax,14,78,4,4,2,30
X_CM_Media,12,0,0,0,0,30
X_K_Index,8,0,0,0,0,30
MTab,3,0,0,0,0,30
StorageCleanup,3,118,6,4,2,30
ExpenseAPInvoice,2,118,3,2,1,30
ViewCreate,0,45,13,3,1,30
PaymentProcessor,111,108,5,4,0,29
MUOM,102,53,2,2,2,29
MReportTree,53,93,8,1,1,29
X_C_PaySelection,29,0,0,0,0,29
X_CM_Media_Server,28,0,0,0,0,29
MContactInterest,15,87,5,2,1,29
X_C_Task,10,0,0,0,0,29
X_W_Click,10,0,0,0,0,29
MMediaServer,9,97,8,8,1,29
X_AD_LdapAccess,8,0,0,0,0,29
X_AD_Alert,7,0,0,0,0,29
MWFNodeNext,7,63,6,2,1,29
Task,6,30,4,5,0,29
MBPGroup,5,31,3,4,2,29
OrgOwnership,4,350,1,0,0,29
X_C_Conversion_Rate,3,0,0,0,0,29
MWarehousePrice,2,118,5,4,2,29
TreeMaintenance,1,94,2,2,1,29
CLogger,338,0,0,0,0,28
X_C_DocTypeCounter,57,0,0,0,0,28
X_C_RfQLine,47,0,0,0,0,28
X_M_PriceList,27,0,0,0,0,28
X_C_LandedCostAllocation,24,0,0,0,0,28
X_PA_SLA_Measure,21,0,0,0,0,28
X_AD_UserMail,19,0,0,0,0,28
X_S_Resource,17,0,0,0,0,28
X_R_RequestUpdate,17,0,0,0,0,28
X_C_CommissionRun,17,0,0,0,0,28
X_C_PaySchedule,16,0,0,0,0,28
MOrderTax,15,80,5,4,2,28
MMovementLine,14,49,10,0,0,28
BankStatementMatcher,12,127,5,0,0,28
X_A_Asset_Group,11,0,0,0,0,28
X_CM_Chat,11,0,0,0,0,28
MPaySelectionLine,11,77,4,3,2,28
X_CM_WikiToken,7,0,0,0,0,28
MRegistration,6,62,2,4,2,28
X_AD_InfoWindow,5,0,0,0,0,28
X_AD_PInstance,5,0,0,0,0,28
