MGLCategory	Ctx	1.0
MInvoiceLine	X_C_LandedCostAllocation	18.0
ImportGLJournal	X_GL_Journal	15.0
PO	Evaluatee	4.0
CalloutPayment	MDocType	3.0
MCostDetail	MCost	25.0
X_S_ResourceType	PO	4.0
ColumnEncryption	MColumn	10.0
body	Printable	4.0
MPriceListVersion	DB	1.0
MPOSKeyLayout	DB	1.0
RfQCreatePO	MRfQResponseLine	2.0
X_AD_Ref_List	PO	4.0
MLotCtl	MLot	1.0
MMedia	X_CM_WebProject	2.0
MLdapProcessor	MLdapAccess	2.0
DocumentTypeVerify	PO	2.0
ExpenseSOrder	MTimeExpense	2.0
td	KeyEvents	4.0
BPartnerValidate	MPayment	1.0
MTaxDeclarationLine	X_C_TaxDeclarationLine	28.0
X_C_SubAcct	PO	4.0
MMovementConfirm	Msg	7.0
MPaySelectionCheck	Env	4.0
MRequest	MRequestType	4.0
ProjectLinePricing	X_C_ProjectLine	6.0
MAdvertisement	MCounterCount	3.0
DocWorkflowManager	MWorkflow	1.0
MInOutLine	Msg	4.0
MDataMigration	PO	7.0
RColumn	Msg	2.0
MCostElement	X_M_CostElement	4.0
DistributionCreate	X_M_DistributionListLine	7.0
CostUpdate	MCostUpdate	1.0
MCostQueue	X_M_CostQueue	32.0
X_M_Shipper	PO	4.0
MProjectIssue	DB	1.0
MBPBankAccount	MBank	3.0
MRequisition	X_AD_User	1.0
MResource	MProduct	4.0
MMovement	ModelValidationEngine	2.0
MPayment	DocumentEngine	2.0
CalloutEngine	GridTab	3.0
MInOutLine	MProduct	5.0
MInvoiceLine	DB	4.0
MInOut	MOrderLine	8.0
MMailText	MBPartner	3.0
MRequestType	Query	4.0
MReportLine	MReportLine	5.0
WFActivityManage	X_AD_User	3.0
X_C_CommissionDetail	PO	4.0
MComponentReg	MComponentReg	3.0
CalloutRequisition	CalloutEngine	7.0
X_M_InventoryLine	PO	4.0
MMovementLineMA	X_M_MovementLineMA	10.0
MOrder	X_AD_User	1.0
MBOMProduct	X_M_Product	3.0
SLAGoalProcess	MSLAGoal	1.0
ProjectSetType	PO	1.0
MInOutLine	MMatchInv	1.0
InvoicePrint	Language	1.0
MDistribution	X_C_ValidCombination	13.0
X_AD_WF_Node	PO	4.0
MCharge	MCharge	1.0
RoleMakeSysAdmin	MUserRoles	1.0
RfQResponseInvite	ProcessInfoParameter	1.0
DunningPrint	X_C_DunningRun	2.0
X_M_CostQueue	PO	4.0
MBankAccount	MBank	1.0
TabCreateFields	MField	2.0
RfQResponseRank	RfQResponseRank	2.0
MResolution	X_R_Resolution	4.0
MImage	X_AD_Image	10.0
MLot	CLogger	2.0
MInOut	X_A_Asset	2.0
RfQResponseRank	PO	15.0
HttpConnectionParams	DefaultHttpParams	4.0
MJournalBatch	DocumentEngine	2.0
X_R_Request	PO	4.0
X_C_BP_Status	PO	4.0
X_C_Campaign	PO	4.0
PeriodControlStatus	X_C_PeriodControl	11.0
BankStatementMatcher	X_C_BankStatementLine	5.0
ImportLocator	X_I_Locator	10.0
X_AD_LoginMsg	PO	4.0
MInvoicePaySchedule	MInvoice	5.0
DistributionRun	Ctx	1.0
ResultTableCellRenderer	RModel	4.0
MDataMigrationEntry	X_AD_DataMigrationEntry	17.0
MInvoiceLine	MInvoiceTax	2.0
MReportLineSet	DB	1.0
LeadRequest	SvrProcess	7.0
MCommissionRun	CLogger	1.0
DisplayType	FieldType	4.0
MIndex	DB	3.0
ProjectSetType	ProcessInfoParameter	2.0
MPayment	X_C_BPartner	10.0
CalloutInvoice	MUOMConversion	9.0
RfQCreatePO	MBPartner	2.0
ScheduleUtil	MResourceAssignment	1.0
ImportOrder	X_C_OrderLine	8.0
X_AD_TreeNodePR	PO	4.0
MInOut	MAttributeSetInstance	1.0
SLAMeasureProcess	MSLAGoal	1.0
ViewImportFromDB	ProcessInfoParameter	2.0
img	SinglePartElement	4.0
DataMigrationCreate	CompiereSystemException	4.0
MPaySelectionCheck	X_C_PaymentBatch	2.0
VolumeTest	Util	2.0
MAlertRule	Util	1.0
MRfQLine	X_M_Product	4.0
MOrder	X_C_Tax	2.0
MWFNodePara	DB	1.0
MInOutConfirm	MInOutConfirm	22.0
MAsset	X_M_InOut	5.0
CalloutPayment	X_C_Invoice	3.0
MCash	DB	3.0
WebUser	MLocation	10.0
X_S_TimeExpenseLine	PO	4.0
BPartnerOrgLink	SvrProcess	11.0
MProductCategory	DB	3.0
MChatType	MChatType	1.0
WorkflowMoveToClient	ProcessInfoParameter	3.0
MAttributeSetInstance	MSerNoCtl	2.0
BankStatementPayment	X_C_BankStatementLine	4.0
CostUpdate	MCostElement	5.0
GwtTest	Login	1.0
MCommissionDetail	MCommissionRun	1.0
MRfQResponse	X_C_RfQ	5.0
YearCreatePeriods	PO	1.0
WebDoc	html	4.0
MMediaServer	X_CM_Media_Server	30.0
MIndexColumn	X_AD_IndexColumn	8.0
MChat	DB	2.0
MJournalLine	X_GL_Journal	6.0
TemporaryDelete	X_AD_Table	3.0
MMeasure	X_PA_Achievement	3.0
MDataMigrationEntry	MTable	2.0
MGLCategory	MGLCategory	3.0
AssetDelivery	MClient	5.0
MRfQResponseLine	TimeUtil	3.0
CommissionCopy	PO	2.0
WFActivityManage	X_AD_WF_Activity	5.0
ScheduleUtil	Msg	12.0
SendMailText	SvrProcess	16.0
CalloutRequisition	Ctx	7.0
X_C_Conversion_Rate	PO	4.0
MSetup	DocumentTypeVerify	2.0
DataMigrationIncludeClient	SvrProcess	6.0
MPOS	CLogger	2.0
PriceListCreate	MProductPO	1.0
PaySelectionCreateCheck	X_C_PaySelection	2.0
OrgOwnership	DB	28.0
SendMailText	EMail	6.0
X_C_ProjectLine	PO	4.0
MGoalRestriction	X_PA_GoalRestriction	5.0
InvoiceGenerate	MOrder	2.0
MAsset	MAsset	15.0
InventoryCountCreate	X_M_Inventory	2.0
MTemplate	X_CM_Template	24.0
InvoiceBatchProcess	X_C_Invoice	6.0
MPaySelectionCheck	X_C_Payment	28.0
MPackage	MPackage	1.0
CalloutPayment	CLogger	2.0
MFactAccumulation	MFactAccumulation	3.0
MAllocationHdr	CLogger	2.0
GridTable	DataStatusListener	1.0
MProjectIssue	MProjectIssue	1.0
PriceListCreate	PO	6.0
PaySelectionCreateCheck	ProcessInfoParameter	2.0
WebEnv	CLogMgt	4.0
X_C_RfQ_TopicSubscriberOnly	PO	4.0
MGroup	X_R_Group	4.0
MWFNodePara	X_AD_WF_Node_Para	9.0
a	KeyEvents	4.0
MSetup	MProductPrice	1.0
MCStage	X_CM_WebProject	5.0
MJournalBatch	X_C_Period	2.0
ValidateOrg	SvrProcess	6.0
X_AD_Alert	PO	4.0
InvoiceGenerate	PO	10.0
PaymentProcessor	MPayment	2.0
MBPartnerProduct	X_C_BPartner_Product	4.0
MCash	X_C_AllocationLine	2.0
MProjectPhase	X_C_Project	1.0
DunningPrint	X_C_Invoice	1.0
ImportBankStatement	MBankStatementLine	2.0
WebInfo	MInvoice	3.0
MReportTree	MTree	3.0
X_PA_GoalRestriction	PO	4.0
MBPartner	Util	15.0
X_AD_ViewComponent	PO	4.0
WebProjectDeploy	MWebProject	3.0
MPaymentBatch	PO	3.0
GridWorkbench	GridWorkbench	3.0
MReportLineSet	MReportLineSet	2.0
MRequisition	MRequisitionLine	2.0
CalloutInvoiceBatch	GridTab	17.0
DunningRunCreate	ProcessInfoParameter	8.0
MMovementLine	X_M_Movement	1.0
RfQCreateSO	MRfQ	1.0
MPayment	CThreadUtil	2.0
InvoiceCreateInOut	X_C_InvoiceLine	4.0
EMailTest	SvrProcess	10.0
MInvoiceLine	MLocation	1.0
MPeriod	X_AD_Org	3.0
SessionEnd	X_AD_User	1.0
X_M_InOutLineMA	PO	4.0
MPayment	X_C_AllocationHdr	6.0
MBPartnerInfo	X_RV_BPartner	4.0
TabCreateFields	DB	1.0
MInventory	MTransaction	4.0
MSetup	MDiscountSchema	1.0
FinReport	CLogMgt	4.0
ProjectPhaseGenOrder	SvrProcess	7.0
ResultTable	ResultTableCellRenderer	1.0
